"filename", "language", "XML", "CSS", "TypeScript", "TypeScript JSX", "JSON with Comments", "Dotenv", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditMenuItemModal.tsx", "TypeScript JSX", 0, 0, 0, 257, 0, 0, 0, 0, 0, 0, 13, 19, 289
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditOfferModal.tsx", "TypeScript JSX", 0, 0, 0, 371, 0, 0, 0, 0, 0, 0, 10, 19, 400
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditPartnerModal.tsx", "TypeScript JSX", 0, 0, 0, 576, 0, 0, 0, 0, 0, 0, 21, 34, 631
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditPromoCodeModal.tsx", "TypeScript JSX", 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 13, 27, 381
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/BrandDetailView.tsx", "TypeScript JSX", 0, 0, 0, 1081, 0, 0, 0, 0, 0, 0, 21, 40, 1142
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/BrandExtraInfoView.tsx", "TypeScript JSX", 0, 0, 0, 407, 0, 0, 0, 0, 0, 0, 25, 34, 466
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/DeletePartnerModal.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerBrandsView.tsx", "TypeScript JSX", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 10, 15, 263
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerFilterBar.tsx", "TypeScript JSX", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 5, 69
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerSocialLinks.tsx", "TypeScript JSX", 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 3, 14, 238
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerStatsHeader.tsx", "TypeScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 4, 6, 72
